BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,Other,Distribution Center,Parking,Hotel,Restaurant,Supermarket/Grocery Store,Medical Office,Non-Refrigerated Warehouse,K-12 School,Retail Store,Worship Facility,Office,grouped_usetypes
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1,389000,0.0,0.609458,0.029109,0.257541,23658978.0,64.30000305,607.41,1.56,0.9460154241645244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1,91213,0.0,0.461128,0.0,0.506087,8141155.5,125.1999969,344.2,3.77,0.7126177189654983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1938,1.0,5,396085,0.0,0.34609,0.0,0.465935,20955026.0,75.19999695,804.2,2.03,0.7031319035055607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Large Office,LAKE UNION,2010,1.0,12,571329,0.0,0.813167,0.186833,0.0,39605888.0,63.40000153,617.52,1.08,0.04586324166986097,0.0,0.5438180102882927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.048084378702989,0.0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,2,52000,0.0,0.474385,0.0,0.441019,2726369.0,52.40000153,101.83,1.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1928,1.0,1,60696,0.0,1.0,0.0,0.0,875943.3125,8.100000381,6.11,0.1,1.7793594306049823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1928,1.0,2,262048,0.0,0.652054,0.0,0.247896,20723248.0,70.0,490.73,1.87,1.129564049334473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1986,0.0,2,66240,0.035507,1.0,0.0,0.0,4166306.25,74.90000153,29.04,0.44,0.0,0.06870471014492753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6929347826086957,0.07821557971014492
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2010,1.0,6,920598,0.329902,0.752645,0.247355,0.0,36667044.0,49.79999924,674.09,0.73,0.0065175027536449135,0.0,0.20097154241047666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7925109548358784,0.0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1970,1.0,4,76213,0.340231,0.847098,0.152902,0.0,3476212.5,68.19999695,48.76,0.64,0.03156941729101334,0.0,0.28150053140540326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6369779433954837,0.0
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,2002,1.0,6,96910,0.381116,0.511488,0.488512,0.0,5155568.5,86.0,152.14,1.57,0.0,0.0,0.3811164998452172,0.6188835001547828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,NORTHEAST,1962,2.0,4,50017,0.0,0.390588,0.609412,0.0,5448975.0,108.9000015,191.2,3.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,K-12 School,EAST,1923,1.0,3,67743,0.0,0.50542,0.49458,0.0,2646879.0,39.09999847,78.85,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NonResidential,K-12 School,EAST,1908,1.0,6,194104,0.0,0.303528,0.696473,0.0,6219841.5,32.0,243.23,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
