BuildingType,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
Nonresidential COS,Distribution Center,47.57199,-122.32811,1924,1.0,2,179161,0.0,0.929602,0.070398,0.0,9436408.0,52.20000076,96.43,0.54
Nonresidential COS,Warehouse,47.57199,-122.32811,1965,1.0,2,58640,0.0,1.0,0.0,0.0,3928695.25,55.90000153,27.39,0.47
NonResidential,Other,47.59085,-122.33354,1999,1.0,3,1172127,0.0,0.691312,0.308688,0.0,58761304.0,50.09999847,1246.55,1.06
NonResidential,Hotel,47.59269,-122.33372,2005,1.0,9,168449,0.086477,0.489694,0.510306,0.0,12726789.0,88.19999695,388.37,2.31
NonResidential,Warehouse,47.57507,-122.35747,1916,0.0,4,79600,0.0,1.0,0.0,0.0,2411402.25,30.29999924,16.81,0.21
Campus,Large Office,47.52429,-122.31234,1980,14.0,2,334368,0.095326,0.847656,0.152343,0.0,53466684.0,159.8999939,748.55,2.24
NonResidential,Other,47.70281,-122.32532,2008,1.0,6,419848,0.798167,0.765766,0.234234,0.0,9134963.0,107.8000031,162.41,0.39
NonResidential,Mixed Use Property,47.6239,-122.35756,2002,1.0,4,110785,0.0,0.960375,0.039625,0.0,10557910.0,95.30000305,92.91,0.84
NonResidential,Hotel,47.61275,-122.3333,1999,1.0,0,934292,0.0,0.605162,0.394838,0.0,65047284.0,117.9000015,1638.46,1.75
NonResidential,Hospital,47.60705,-122.30966,1990,6.0,5,597519,0.0,0.409662,0.590338,0.0,143423024.0,238.3999939,4906.33,8.21
NonResidential,Warehouse,47.65097,-122.34227,1991,1.0,3,75397,0.10824,0.770931,0.229068,0.0,549181.375,8.199999809,9.63,0.13
NonResidential,Hospital,47.60399,-122.32377,2000,9.0,8,1158691,0.0,0.575534,0.006251,0.418215,293090784.0,217.1000061,10734.57,9.26
NonResidential,Senior Care Community,47.59626,-122.3218,1999,1.0,5,102796,0.12268,0.735135,0.264865,0.0,10105379.0,98.30000305,193.94,1.89
NonResidential,K-12 School,47.66568,-122.31368,1928,1.0,2,55653,0.0,0.004455,0.995545,0.0,1377627.0,24.79999924,72.88,1.31
NonResidential,Hotel,47.66151,-122.31457,1931,1.0,16,106860,0.0,0.29841,0.70159,0.0,11935719.0,111.6999969,469.57,4.39
NonResidential,Small- and Mid-Sized Office,47.71895,-122.29475,1972,1.0,5,50759,0.0,0.812996,0.187004,0.0,3147042.0,62.0,49.09,0.97
NonResidential,Worship Facility,47.66182,-122.31113,1952,1.0,2,56772,0.0,0.399721,0.600279,0.0,2439484.75,43.0,84.57,1.49
NonResidential,Worship Facility,47.6626,-122.31164,1952,1.0,3,103000,0.0,0.481712,0.518289,0.0,4854429.5,47.09999847,149.93,1.46
